Variable Name,Variable Label (CHN),Variable Label (ENG),Value Label (CHN),Value Label (ENG),
,,,,,
Part0. Identifiers,,,,,
pid,个人ID,Individual ID,,,
fid,家庭ID,Family ID,,,
cid,社区ID,Community ID,,,
countyid,区县ID,County ID,,,
provcd,省编码,Province code,"11 ""北京市""
12 ""天津市""
13 ""河北省""
14 ""山西省""
15 ""内蒙古自治区""
21 ""辽宁省""
22 ""吉林省""
23 ""黑龙江省""
31 ""上海市""
32 ""江苏省""
33 ""浙江省""
34 ""安徽省""
35 ""福建省""
36 ""江西省""
37 ""山东省""
41 ""河南省""
42 ""湖北省""
43 ""湖南省""
44 ""广东省""
45 ""广西壮族自治区""
46 ""海南省""
50 ""重庆市""
51 ""四川省""
52 ""贵州省""
53 ""云南省""
54 ""西藏自治区""
61 ""陕西省""
62 ""甘肃省""
63 ""青海省""
64 ""宁夏回族自治区""
65 ""新疆维吾尔自治区""","11 ""Beijing""
12 ""Tianjin""
13 ""Hebei""
14 ""Shanxi""
15 ""Neimenggu""
21 ""Liaoning""
22 ""Jilin""
23 ""Heilongjiang""
31 ""Shanghai""
32 ""Jiangsu""
33 ""Zhejiang""
34 ""Anhui""
35 ""Fujian""
36 ""Jiangxi""
37 ""Shandong""
41 ""Henan""
42 ""Hubei""
43 ""Hunan""
44 ""Guangdong""
45 ""Guangxi""
46 ""Hainan""
50 ""Chongqing""
51 ""Sichuan""
52 ""Guizhou""
53 ""Yunnan""
54 ""Xizang""
61 ""Shaanxi""
62 ""Gansu""
63 ""Qinghai""
64 ""Ningxia""
65 ""Xinjiang""",
wave,调查轮次,Wave ID,"10 ""2010"" 11 ""2011"" 12 ""2012"" 14 ""2014"" 16 ""2016""","10 ""2010"" 11 ""2011"" 12 ""2012"" 14 ""2014"" 16 ""2016""",
syear,问卷调查年,Survey Year,,,
smonth,问卷调查月,Survey Month,,,
qtype,问卷类型,Questionnaire Type,"0 ""少儿"" 1 ""成人""","0 ""Child"" 1 ""Adult""",
interviewerid,访员ID,Interviewer ID,,,
rswt_nat,个人权重-全国样本,Weight_National,,,
rswt_res,个人权重-全国再抽样样本,Weight_Resample,,,
resample,是否在全国再抽样样本中,Resamle,"0 ""否"" 1 ""是""","0 ""No"" 1 ""Yes""",
,,,,,
Part1. Basic Demographics,,,,,
birthy,出生年,Birth Year,,,
age,年龄（调查年）,Age in Survey Year,,,
gender,性别,Gender ,"0 ""女"" 1 ""男""","0 ""Female"" 1 ""Male""",
ethnicity,民族,Ethnicity,,,
han,汉族,Han,"0 ""少数民族"" 1 ""汉族""","0 ""Ethnic Minorities"" 1 ""Ethnic Majorities: Han""",
urban,居住地（城乡）,Residence (Urban/Rural),"0 ""乡村"" 1 ""城镇""","0 ""Rural Areas"" 1 ""Urban Areas""",
hukou,户口,Hukou,"0 ""农业户口"" 1 ""非农户口"" 2 ""其他""","0 ""Rural"" 1 ""Non-Rural"" 2 ""Others""",
hkprov,户口所在省,Hukou (Province),,,
Part2. Education,,,,,
edu,最高学历,Highest Educational Level Attained,"1 ""小学以下"" 
2 ""小学"" 
3 ""初中"" 
4 ""高中"" 
5 ""大专"" 
6 ""本科"" 
7 ""硕士"" 
8 ""博士""","1 ""Below Elementary"" 
2 ""Elementary School"" 
3 ""Junior High and Vocational School"" 
4 ""Senior High and Vocational School"" 
5 ""Vocational College or Some College"" 
6 ""Bachelor Degree"" 
7 ""Master Degree"" 
8 ""PhD Degree""",
sch,在读/离校阶段,Highest Educational Level Attend,"1 ""小学以下"" 
2 ""小学"" 
3 ""初中"" 
4 ""高中"" 
5 ""大专"" 
6 ""本科"" 
7 ""硕士"" 
8 ""博士""","1 ""Below Elementary"" 
2 ""Elementary School"" 
3 ""Junior High and Vocational School"" 
4 ""Senior High and Vocational School"" 
5 ""Vocational College or Some College"" 
6 ""Bachelor Degree"" 
7 ""Master Degree"" 
8 ""PhD Degree""",
eduy,教育年限,Years of Education Received,,,
eduy_im,教育年限（插补值）,Years of Education Received (Imputation),,,
major,最高学历专业,Field of Study of the Highest Degree,"1 ""哲学""
2 ""经济学""
3 ""法学""
4 ""教育学""
5 ""文学""
6 ""历史学""
7 ""理学""
8 ""工学""
9 ""农学""
10 ""医学""
11 ""军事学""
12 ""管理学""","1 ""Philosophy"" 
2 ""Economics"" 
3 ""Law"" 
4 ""Education"" 
5 ""Literature"" 
6 ""History"" 
7 ""Science"" 
8 ""Engineering"" 
9 ""Agronomy"" 
10 ""Medicine"" 
11 ""Military Science"" 
12 ""Management"" ",
collegetype,本科学校类型,College Type,"1 ""全国重点""
2 普通重点
           3 二本
           4 三本
           5 部队院校
           6 艺体院校
           7 海外院校
           8 大专高职
           9 中专
          10 夜大与函授
          11 自考
          12 广播电视大学
          13 网络教育院校
          14 党校
          99 其他",,
Education History,,,,,
,,,,,
Part3. Labor Market Outcomes,,,,,
employ,就业状态,Labor Market Participation,"0 ""失业"" 1 ""在业"" 2 ""非经济活动人口""","0 ""Unemployed"" 1 ""Currently Working"" 2 ""Not in Labor Market""",
employs,当前职业就业身份,Current Employment Status,"1 ""受雇"" 2 ""非农自雇"" 3 ""务农"" ","1 ""Employed"" 2 ""Non-Farm Self-Employed"" 3 ""Farmer"" (?) ",
occtype_isco,当前职业（ISCO88/08）,Current Occupation (ISCO88/08),太长不写,……,
occtype_crude,当前职业（10类）,Current Occupation (10 Categories),"1 ""国家机关、党群组织、企业、事业单位负责人""
2 ""专业技术人员""
3 ""技术人员和辅助专业人员""
4 ""办事人员和有关人员"" 
5 ""商业、服务业人员""
6 ""农渔业技术工人""
7 ""工艺人员及相关产业技术工人"" （不确定）
8 ""设备和机械操作工人""
9 ""非技术工人""","1 ""Legislators, Senior Officials And Managers""
2 ""Professionals""
3 ""Technicians And Associate Professionals""
4 ""Clerks"" 
5 ""Service Workers And Shop And Market Sales Workers""
6 ""Skilled Agricultural And Fishery Workers""
7 ""Craft And Related Trades Workers""
8 ""Plant And Machine Operators And Assemblers""
9 ""Elementary Occupations""",
occisei,当前职业ISEI,Current Occupation ISEI,,,
